ra,dec,xki,eta,radius,signal,noise,vr,e_vr,P(member)
8.9748755,51.5725822,-0.844,0.772,1.759,130.3,39.2,-367.54,6.23,1.0
8.9437504,51.598362,-2.005,2.318,5.052,419.6,48.2,-58.71,4.56,0.0
9.2737913,51.5575294,10.306,-0.132,10.31,287.1,41.6,-57.1,3.41,0.0
9.2667503,51.5876389,10.044,1.675,10.587,164.4,39.5,-113.67,6.73,0.0
8.9863329,51.5604439,-0.417,0.043,0.425,183.5,40.5,-379.11,5.15,1.0
9.2410002,51.5811653,9.083,1.287,9.44,428.0,50.4,-100.78,4.57,0.0
9.2472916,51.5208054,9.318,-2.335,10.423,315.0,53.7,-80.65,4.93,0.0
9.2403746,51.5153351,9.06,-2.663,10.51,458.9,55.8,-376.85,4.16,1.0
9.2365417,51.5032234,8.917,-3.39,11.202,587.3,60.7,-90.31,4.2,0.0
9.2333336,51.5486679,8.797,-0.663,8.896,355.8,46.1,-373.21,4.23,1.0
9.2267504,51.5111389,8.551,-2.915,10.35,317.0,50.2,-366.56,4.44,1.0
9.2300415,51.5741653,8.674,0.867,8.846,397.4,53.8,-369.9,4.2,1.0
9.2206669,51.5128593,8.325,-2.812,10.046,432.5,53.1,-369.22,4.25,1.0
9.2094584,51.5735016,7.906,0.827,8.077,356.2,52.2,-370.55,4.15,1.0
9.2050419,51.5208893,7.742,-2.33,9.036,510.6,50.8,-63.67,4.09,0.0
9.2020416,51.5594444,7.63,-0.017,7.63,431.7,42.9,-115.5,4.0,0.0
9.1988335,51.5760269,7.51,0.978,7.761,563.9,52.9,-47.58,4.18,0.0
9.175292,51.5386391,6.632,-1.265,7.098,222.1,45.6,-350.2,4.86,0.99
9.1717081,51.5416374,6.498,-1.085,6.851,357.8,45.6,-381.11,4.03,1.0
9.1607084,51.5062218,6.088,-3.21,8.848,330.3,54.0,-370.11,4.33,1.0
9.1571255,51.5241661,5.954,-2.133,7.325,491.8,51.1,-110.3,4.07,0.0
9.1546249,51.5423317,5.861,-1.043,6.222,409.2,51.2,-370.96,3.94,1.0
9.1495419,51.5687218,5.671,0.54,5.773,563.9,52.4,-97.16,3.88,0.0
9.1455002,51.5296936,5.521,-1.802,6.593,360.8,46.9,-379.56,4.09,1.0
9.142375,51.5325012,5.404,-1.633,6.315,333.5,49.5,-361.51,4.2,1.0
