ra,dec,xki,eta,radius,signal,noise,vr,e_vr,P(member)
8.9243746,51.5091934,-2.728,-3.032,6.649,182.7,46.1,-369.03,5.46,1.0
8.9215002,51.5516396,-2.835,-0.485,2.996,430.6,49.3,-371.11,3.98,1.0
8.9040003,51.5239983,-3.488,-2.143,5.527,610.8,52.6,-92.27,4.53,0.0
8.8956671,51.5248871,-3.799,-2.09,5.648,217.1,52.3,-349.61,5.3,0.99
8.888958,51.5252495,-4.049,-2.068,5.788,348.4,53.2,-364.68,4.54,1.0
8.8837919,51.5593872,-4.242,-0.02,4.242,304.3,48.9,-379.24,4.27,1.0
9.2872915,51.5415573,10.81,-1.09,11.027,616.5,67.9,-105.56,4.31,0.0
9.2842503,51.5268898,10.696,-1.97,11.399,462.4,65.9,-79.22,4.82,0.0
9.2817497,51.528389,10.603,-1.88,11.25,762.4,67.4,-59.07,3.92,0.0
9.2765417,51.527916,10.409,-1.908,11.087,623.3,60.6,-111.53,3.97,0.0
9.2674999,51.5318336,10.071,-1.673,10.613,625.0,59.1,-84.04,3.97,0.0
9.2627916,51.5287209,9.896,-1.86,10.572,321.4,55.5,-142.15,5.34,0.0
9.2509165,51.5216103,9.453,-2.287,10.501,635.7,59.9,-21.86,4.03,0.0
9.0032501,51.5463066,0.214,-0.805,1.624,234.6,49.0,-376.93,4.97,1.0
