,ra,dec,xki,eta,radius,signal,noise,vr,e_vr,P(member)
59,344.526886,41.2686386,-1.849,-1.348,3.804,361.4,50.2,-215.07,2.95,1.0
133,344.5650024,41.269249,-0.131,-1.312,2.165,247.3,53.7,-202.75,5.34,1.0
60,344.5222778,41.2995567,-2.057,0.507,2.302,435.4,55.0,-206.89,3.66,1.0
141,344.5543823,41.3026123,-0.609,0.69,1.004,244.6,55.4,-195.6,5.81,1.0
112,344.6050415,41.2996941,1.674,0.515,2.569,388.7,68.0,-190.62,4.52,1.0
88,344.4356384,41.326416,-5.963,2.118,6.581,201.3,43.6,-196.83,5.56,1.0
1,344.6809998,41.1973343,5.099,-5.627,8.227,621.9,64.3,-109.61,3.38,0.0
18,344.6179199,41.2789459,2.255,-0.73,2.493,428.7,61.3,-193.96,3.69,1.0
148,344.5418701,41.2897491,-1.174,-0.082,1.526,752.0,74.6,-195.4,4.13,1.0
58,344.5275269,41.3273315,-1.82,2.173,3.133,425.3,53.8,-203.46,3.92,1.0
76,344.4885864,41.3101387,-3.576,1.142,3.954,484.9,54.3,-209.11,6.48,1.0
29,344.598114,41.2316399,1.362,-3.568,5.112,278.3,48.3,-176.14,3.97,0.91
135,344.5644226,41.2729454,-0.157,-1.09,1.831,176.0,58.8,-186.95,7.51,0.99
9,344.6639099,41.2431374,4.328,-2.878,5.209,279.1,50.5,-195.36,4.12,1.0
93,344.4165344,41.3190269,-6.824,1.675,7.639,192.9,46.4,-207.62,5.84,1.0
37,344.5709534,41.2519455,0.138,-2.35,3.659,374.9,52.4,-202.11,3.54,1.0
15,344.6263733,41.277832,2.636,-0.797,2.92,448.3,58.6,-201.28,3.35,1.0
49,344.5505066,41.3169708,-0.784,1.552,2.192,402.4,63.3,-210.2,3.17,1.0
