ra,dec,xki,eta,radius,signal,noise,vr,e_vr,P(member)
8.930583,51.606472,-2.496,2.805,6.14,361.7,48.6,-377.88,4.35,1.0
8.9324579,51.5700264,-2.426,0.618,2.723,299.3,54.1,-362.48,4.52,1.0
8.9329586,51.5581398,-2.408,-0.095,2.415,467.7,64.2,-365.28,3.05,1.0
8.9360418,51.6085014,-2.293,2.927,6.286,390.2,64.5,-358.43,4.35,1.0
8.9364586,51.529583,-2.277,-1.808,4.274,303.2,47.0,-384.7,4.29,1.0
8.9377079,51.5622482,-2.23,0.152,2.251,281.0,40.4,-379.29,4.4,1.0
8.9386663,51.5798073,-2.195,1.205,3.26,230.3,45.3,-382.91,4.8,1.0
8.9391251,51.5506935,-2.178,-0.542,2.432,433.7,49.5,-381.16,3.86,1.0
8.9446249,51.5514183,-1.972,-0.498,2.21,227.6,50.5,-383.61,4.87,1.0
8.9447918,51.5863876,-1.966,1.6,3.756,215.9,48.8,-354.11,5.1,1.0
8.9460831,51.5887794,-1.918,1.743,3.979,336.1,51.4,-378.45,4.63,1.0
8.9473753,51.5870552,-1.87,1.64,3.775,214.4,50.2,-359.98,5.52,1.0
8.9486666,51.5440559,-1.822,-0.94,2.618,279.0,52.5,-358.68,3.42,1.0
8.9491253,51.5719185,-1.804,0.732,2.323,317.1,48.1,-381.67,4.26,1.0
8.9500418,51.5778618,-1.77,1.088,2.806,284.5,45.9,-390.97,5.36,1.0
8.9518747,51.5501938,-1.702,-0.572,2.05,419.0,63.6,-369.72,2.48,1.0
8.9543333,51.5564461,-1.61,-0.197,1.658,337.8,53.5,-362.43,2.14,1.0
8.956708,51.5548325,-1.522,-0.293,1.631,683.3,67.0,-367.57,3.78,1.0
8.9577084,51.5567207,-1.484,-0.18,1.527,226.5,42.9,-359.04,4.78,1.0
8.9589586,51.565918,-1.438,0.372,1.619,305.7,48.2,-369.12,4.49,1.0
8.9610004,51.5660553,-1.362,0.38,1.559,225.4,47.9,-382.11,4.93,1.0
8.9610834,51.5750275,-1.358,0.918,2.284,359.2,51.3,-365.04,2.95,1.0
8.9633751,51.5544167,-1.273,-0.318,1.423,226.4,47.1,-361.76,4.91,1.0
8.963625,51.5599709,-1.264,0.015,1.264,367.2,50.5,-379.27,4.15,1.0
8.9657917,51.5233612,-1.183,-2.182,4.521,439.6,52.8,-385.0,4.16,1.0
8.9684582,51.5625572,-1.083,0.17,1.135,255.2,50.4,-367.74,4.81,1.0
8.9693747,51.5732231,-1.049,0.81,1.93,341.1,49.6,-367.73,4.27,1.0
8.9717503,51.569416,-0.961,0.582,1.509,275.7,47.8,-365.53,3.05,1.0
8.9740419,51.5634727,-0.875,0.225,0.984,526.3,52.7,-364.85,3.87,1.0
8.9748755,51.5725822,-0.844,0.772,1.759,130.3,39.2,-367.54,6.23,1.0
8.9762497,51.5686378,-0.793,0.535,1.331,304.1,63.6,-388.15,4.52,1.0
8.9780836,51.5884171,-0.724,1.722,3.519,516.0,47.1,-364.19,2.78,1.0
8.9840832,51.5763893,-0.5,1.0,2.062,257.1,46.5,-369.24,5.31,1.0
8.9859171,51.5545006,-0.432,-0.313,0.761,449.9,51.8,-375.08,4.04,1.0
8.9860001,51.5320282,-0.429,-1.662,3.351,373.0,53.1,-392.53,4.16,1.0
8.9863329,51.5604439,-0.417,0.043,0.425,183.5,40.5,-379.11,5.15,1.0
8.9894581,51.5408592,-0.3,-1.132,2.283,270.7,44.8,-366.96,4.67,1.0
8.9899168,51.5074158,-0.283,-3.138,6.283,397.6,56.0,-368.92,4.22,1.0
8.9918337,51.5581093,-0.211,-0.097,0.287,457.4,49.2,-369.39,2.31,1.0
8.9944582,51.5465851,-0.113,-0.788,1.581,498.3,58.1,-373.63,2.83,1.0
8.9949579,51.5211678,-0.095,-2.313,4.628,407.0,51.2,-375.21,2.9,1.0
8.9971247,51.5536957,-0.014,-0.362,0.723,247.9,39.0,-366.24,4.67,1.0
8.9974165,51.559166,-0.003,-0.033,0.067,345.2,48.2,-378.2,3.01,1.0
8.998167,51.5219154,0.025,-2.268,4.537,175.7,41.9,-353.97,5.49,1.0
8.9995003,51.5629997,0.075,0.197,0.4,150.5,39.7,-370.19,6.64,1.0
9.0002918,51.5951958,0.104,2.128,4.258,326.9,46.5,-369.1,4.13,1.0
9.0009584,51.5467491,0.129,-0.778,1.562,148.7,45.1,-357.04,5.78,1.0
9.0032501,51.5463066,0.214,-0.805,1.624,234.6,49.0,-376.93,4.97,1.0
9.0044584,51.5661392,0.26,0.385,0.813,303.0,44.5,-369.9,3.31,1.0
9.0049162,51.5453339,0.277,-0.863,1.749,401.3,51.1,-373.03,4.18,1.0
9.0074167,51.5730553,0.37,0.8,1.642,279.7,48.8,-379.34,2.77,1.0
9.0096664,51.5144997,0.454,-2.713,5.446,414.0,58.1,-359.12,2.89,1.0
9.0101252,51.5466652,0.471,-0.783,1.636,346.3,50.5,-375.77,3.13,1.0
9.012125,51.5751648,0.546,0.927,1.932,322.8,50.6,-374.63,4.41,1.0
9.0147495,51.5315285,0.643,-1.692,3.444,320.3,49.7,-391.9,3.09,1.0
9.0159588,51.554863,0.689,-0.292,0.902,146.6,38.8,-354.56,6.06,1.0
9.017333,51.5363045,0.74,-1.405,2.906,286.8,48.0,-366.96,3.09,1.0
9.0187912,51.5634995,0.794,0.227,0.914,205.5,39.6,-367.92,5.26,1.0
9.0196247,51.5341682,0.825,-1.533,3.176,447.0,54.3,-379.59,4.01,1.0
9.0196667,51.5978889,0.827,2.29,4.654,233.8,45.6,-371.97,4.64,1.0
9.0200415,51.5535011,0.841,-0.373,1.124,265.4,60.7,-374.74,5.42,1.0
9.0210419,51.5824738,0.878,1.365,2.868,241.0,40.2,-357.15,5.05,1.0
9.0225,51.5412216,0.933,-1.11,2.408,673.9,55.0,-358.55,3.81,1.0
9.0272083,51.5671959,1.108,0.448,1.426,170.1,41.7,-372.7,6.1,1.0
9.0274162,51.5542221,1.116,-0.33,1.297,250.1,44.1,-370.43,4.63,1.0
9.0288334,51.564724,1.169,0.3,1.314,273.2,44.1,-377.96,4.28,1.0
9.029542,51.597805,1.195,2.285,4.724,213.5,44.9,-379.84,4.71,1.0
9.0306664,51.5491943,1.237,-0.632,1.768,207.7,44.9,-351.23,3.61,0.99
9.0320835,51.5622215,1.29,0.15,1.324,344.0,46.3,-364.52,3.05,1.0
9.0334167,51.5550537,1.34,-0.28,1.452,387.0,46.7,-363.51,4.07,1.0
9.0345831,51.5339165,1.383,-1.548,3.392,225.8,43.9,-379.72,4.68,1.0
9.0360832,51.5589981,1.439,-0.043,1.442,301.2,40.9,-374.04,2.93,1.0
9.0372496,51.5770569,1.483,1.04,2.554,318.6,45.3,-387.8,4.16,1.0
9.0385838,51.5741653,1.532,0.867,2.313,344.9,47.0,-361.41,2.43,1.0
9.0412083,51.5094185,1.63,-3.018,6.253,444.4,54.0,-367.15,4.03,1.0
9.0443754,51.5670815,1.749,0.442,1.959,236.8,41.9,-381.98,4.96,1.0
9.0447912,51.5755539,1.764,0.95,2.592,322.0,56.6,-370.97,4.54,1.0
9.0456667,51.6081123,1.797,2.903,6.078,357.5,49.7,-375.25,4.23,1.0
9.0467081,51.5875816,1.836,1.672,3.814,441.8,45.8,-377.55,4.01,1.0
9.0495415,51.5373878,1.941,-1.34,3.309,321.2,48.7,-374.84,2.47,1.0
9.0517912,51.5673599,2.025,0.458,2.223,264.8,41.2,-379.91,4.45,1.0
9.0528746,51.5472488,2.066,-0.748,2.551,606.3,53.7,-372.2,3.79,1.0
9.0560417,51.544445,2.184,-0.917,2.851,195.0,45.6,-389.43,5.76,1.0
9.0567503,51.5439453,2.21,-0.947,2.91,318.2,60.4,-364.47,3.24,1.0
9.0584164,51.5852509,2.272,1.532,3.814,276.7,39.6,-367.46,4.54,1.0
9.0601254,51.5629463,2.336,0.193,2.368,280.7,46.2,-357.66,2.97,1.0
9.0610418,51.529583,2.37,-1.808,4.324,220.7,45.6,-388.26,4.68,1.0
9.0629168,51.5512238,2.44,-0.51,2.645,336.0,56.3,-370.41,2.56,1.0
9.0646248,51.5123596,2.504,-2.842,6.211,242.2,47.7,-377.81,4.88,1.0
9.0654163,51.5656662,2.533,0.357,2.632,309.3,50.4,-379.74,2.61,1.0
9.0673752,51.5396118,2.606,-1.207,3.552,201.2,44.6,-368.43,5.18,1.0
9.0677919,51.5540276,2.622,-0.342,2.71,325.8,44.1,-373.39,4.56,1.0
9.0682087,51.5783043,2.638,1.115,3.454,284.7,46.6,-377.98,3.22,1.0
9.0710421,51.5655823,2.743,0.352,2.832,226.2,44.3,-382.76,5.04,1.0
9.0715837,51.5487785,2.763,-0.657,3.06,495.4,57.9,-358.52,4.01,1.0
9.0723753,51.5407791,2.793,-1.137,3.601,421.8,50.6,-371.16,4.02,1.0
9.0739164,51.5688629,2.85,0.548,3.054,201.8,44.1,-375.01,3.84,1.0
9.0761671,51.5224152,2.934,-2.238,5.353,260.9,43.2,-362.85,4.59,1.0
9.0838747,51.6152496,3.222,3.332,7.401,547.6,68.2,-368.31,4.34,1.0
9.0870419,51.5540848,3.34,-0.338,3.408,209.3,46.6,-383.44,5.11,1.0
9.0883751,51.60989,3.39,3.01,6.909,196.6,52.2,-359.78,5.83,1.0
9.0891666,51.5535278,3.419,-0.372,3.499,480.9,49.6,-350.11,3.88,0.99
9.0905838,51.5819435,3.472,1.333,4.378,239.7,49.9,-371.26,4.59,1.0
9.0929165,51.5668602,3.559,0.428,3.661,358.8,41.8,-377.13,2.84,1.0
9.0944586,51.5664177,3.617,0.402,3.705,195.0,47.8,-374.49,5.3,1.0
9.0963755,51.5871964,3.688,1.648,4.947,122.6,34.9,-360.99,6.03,1.0
9.0996666,51.5483055,3.811,-0.685,4.05,261.3,44.2,-366.67,3.05,1.0
9.1013746,51.5738335,3.875,0.847,4.229,207.1,51.2,-386.0,6.06,1.0
9.1015835,51.5349731,3.882,-1.485,4.888,290.2,43.1,-382.39,4.68,1.0
9.1029587,51.5649986,3.934,0.317,3.984,396.7,41.5,-365.27,2.83,1.0
9.104167,51.5343628,3.979,-1.522,5.009,293.5,44.7,-374.51,4.5,1.0
9.105792,51.5292778,4.039,-1.827,5.447,412.5,58.2,-364.83,4.22,1.0
9.1073751,51.5294724,4.099,-1.815,5.475,228.9,45.4,-384.33,4.79,1.0
9.1085415,51.5982208,4.142,2.31,6.205,151.9,42.9,-357.55,5.99,1.0
9.1097088,51.5546379,4.186,-0.305,4.23,227.7,59.4,-371.79,5.48,1.0
9.1104584,51.5534706,4.214,-0.375,4.28,435.2,53.9,-378.51,4.09,1.0
9.1122913,51.5849724,4.282,1.515,5.246,222.8,54.0,-369.11,5.46,1.0
9.114542,51.5595284,4.366,-0.012,4.366,354.2,55.4,-369.09,4.31,1.0
9.1168337,51.5500565,4.451,-0.58,4.6,201.5,45.0,-369.79,5.42,1.0
9.1171246,51.5654182,4.462,0.342,4.514,379.4,46.6,-381.34,4.1,1.0
9.1188335,51.5771675,4.526,1.047,4.987,283.0,56.3,-342.64,4.91,0.9
9.124958,51.5710564,4.754,0.68,4.945,144.9,41.8,-381.97,6.18,1.0
9.1259584,51.5796928,4.792,1.198,5.358,345.0,62.6,-366.98,4.38,1.0
9.1307497,51.5591125,4.97,-0.037,4.971,481.7,51.6,-353.31,3.96,1.0
9.1339579,51.5670547,5.09,0.44,5.166,307.5,44.8,-372.14,4.31,1.0
9.1411667,51.5613899,5.359,0.1,5.363,306.9,43.5,-378.91,4.14,1.0
9.142375,51.5325012,5.404,-1.633,6.315,333.5,49.5,-361.51,4.2,1.0
9.1455002,51.5296936,5.521,-1.802,6.593,360.8,46.9,-379.56,4.09,1.0
9.151125,51.5458336,5.73,-0.833,5.968,139.0,42.5,-397.09,6.16,0.98
9.1546249,51.5423317,5.861,-1.043,6.222,409.2,51.2,-370.96,3.94,1.0
9.1575832,51.5606956,5.971,0.058,5.973,168.0,38.5,-367.66,5.29,1.0
9.1607084,51.5062218,6.088,-3.21,8.848,330.3,54.0,-370.11,4.33,1.0
9.1621246,51.6114731,6.141,3.105,8.733,163.3,45.4,-375.25,6.02,1.0
9.1717081,51.5416374,6.498,-1.085,6.851,357.8,45.6,-381.11,4.03,1.0
9.1734581,51.5731125,6.564,0.803,6.757,171.4,40.9,-360.08,5.23,1.0
9.175292,51.5386391,6.632,-1.265,7.098,222.1,45.6,-350.2,4.86,0.99
9.1921663,51.5753326,7.261,0.937,7.499,119.8,36.9,-384.51,6.49,1.0
9.2094584,51.5735016,7.906,0.827,8.077,356.2,52.2,-370.55,4.15,1.0
9.2206669,51.5128593,8.325,-2.812,10.046,432.5,53.1,-369.22,4.25,1.0
9.2267504,51.5111389,8.551,-2.915,10.35,317.0,50.2,-366.56,4.44,1.0
9.2300415,51.5741653,8.674,0.867,8.846,397.4,53.8,-369.9,4.2,1.0
9.2333336,51.5486679,8.797,-0.663,8.896,355.8,46.1,-373.21,4.23,1.0
9.2348747,51.6128349,8.855,3.187,10.91,197.0,38.6,-369.31,4.9,1.0
9.2403746,51.5153351,9.06,-2.663,10.51,458.9,55.8,-376.85,4.16,1.0
