X_pc,Y_pc,vr,d_vr,FeH,d_FeH,flag,P_member_position
-103.335,-279.216,999.0,999.0,-1.47,0.26,1,0.9972516572514033
-474.692,-81.436,-163.369,4.63,-1.71,0.28,1,0.9839090912090155
24.442,130.775,999.0,999.0,-1.84,0.3,1,0.9894418533327125
-125.07,-40.864,-146.908,7.57,-1.5,0.21,1,0.9974780436241502
-461.227,-256.166,999.0,999.0,-1.8,0.29,1,0.9798185775986089
-273.421,-311.786,999.0,999.0,-1.14,0.29,1,0.9952941841650059
80.84,-102.348,-156.364,4.56,-1.65,0.27,1,0.993994635060167
26.671,-499.723,999.0,999.0,-1.43,0.21,1,0.9886367858660486
-120.399,-96.701,999.0,999.0,-0.94,0.3,1,0.9976919809273765
-308.669,20.058,999.0,999.0,-1.06,0.29,1,0.9956990894880449
-293.861,-267.509,999.0,999.0,-1.57,0.26,1,0.9955374491004535
-391.261,-223.539,999.0,999.0,-1.27,0.23,1,0.991637306570974
-180.014,-561.546,999.0,999.0,-1.23,0.2,1,0.983051273302989
-84.824,-239.918,999.0,999.0,-1.58,0.27,1,0.9974364513911446
-348.82,117.64,999.0,999.0,-1.86,0.27,1,0.99225139419271
-17.053,-156.809,999.0,999.0,-1.85,0.23,1,0.9970300968809989
-101.642,-180.506,999.0,999.0,-1.09,0.21,1,0.9976811057454018
-47.652,-442.142,-148.592,4.52,-1.65,0.22,1,0.9938598220434011
-10.388,-118.231,999.0,999.0,-1.73,0.24,1,0.99684517282157
-233.932,-159.48,999.0,999.0,-1.06,0.3,1,0.997371136741765
55.834,-127.91,999.0,999.0,-1.25,0.28,1,0.9952823345446385
179.474,-292.485,-152.328,5.78,-1.21,0.25,1,0.9846363496781076
113.122,-290.915,999.0,999.0,-1.24,0.26,1,0.9920693440500782
-327.884,-55.271,999.0,999.0,-1.62,0.3,1,0.9957957836041065
25.372,73.146,999.0,999.0,-1.07,0.2,1,0.9925311842501252
-246.387,-143.527,999.0,999.0,-1.38,0.29,1,0.9972797951549343
-143.969,-97.548,999.0,999.0,-1.46,0.21,1,0.9977277913589457
27.533,4.257,-152.105,5.3,-1.01,0.29,1,0.9945393461903349
250.277,-608.561,999.0,999.0,-1.3,0.28,1,0.8526793390902254
-331.303,-461.625,999.0,999.0,-1.07,0.25,1,0.9821584473656261
-94.388,-120.2,999.0,999.0,-1.53,0.28,1,0.9976503428211823
-441.49,-422.021,999.0,999.0,-1.52,0.28,1,0.9588507832161816
-319.422,-130.147,999.0,999.0,-1.68,0.21,1,0.996060476096595
-35.901,-200.664,999.0,999.0,-1.63,0.26,1,0.9972250069305157
32.942,-243.595,999.0,999.0,-0.84,0.25,1,0.9959436254322348
-147.436,55.245,999.0,999.0,-1.06,0.25,1,0.9966224557112962
-119.103,-312.234,999.0,999.0,-1.06,0.27,1,0.9969621754865592
-252.669,253.298,999.0,999.0,-0.74,0.28,1,0.9878325321767285
-237.127,-407.964,999.0,999.0,-1.48,0.23,1,0.9935038226473135
-185.219,-168.38,999.0,999.0,-1.66,0.22,1,0.9976659104627137
-109.643,-248.169,999.0,999.0,-1.69,0.23,1,0.997468678442187
-182.65,-462.205,999.0,999.0,-1.48,0.26,1,0.9924545826429314
-172.507,-334.057,999.0,999.0,-1.18,0.23,1,0.996498245115858
-22.584,215.232,999.0,999.0,-1.65,0.27,1,0.98558334621128
-141.613,-447.787,-145.901,4.16,-1.74,0.21,1,0.9937867754127322
-180.481,60.119,-146.172,4.3,-0.98,0.26,1,0.9965780841516205
-326.24,-192.854,999.0,999.0,-1.82,0.29,1,0.9955061937500661
-291.838,159.305,999.0,999.0,-1.66,0.25,1,0.9928319169082706
-92.136,-421.693,999.0,999.0,-1.52,0.23,1,0.9948581935064897
-273.024,-6.75,999.0,999.0,-1.63,0.24,1,0.9966019170913059
-397.829,-28.942,999.0,999.0,-1.25,0.26,1,0.9926155476301769
-314.635,-155.366,-145.642,5.29,-1.81,0.23,1,0.996090910690425
118.142,-271.585,-135.945,6.73,-1.21,0.2,1,0.9919832860738801
29.23,-51.172,-151.948,3.79,-1.87,0.24,1,0.9954316253457303
9.07,-318.681,999.0,999.0,-1.87,0.3,1,0.9957831134873888
-147.926,-237.048,999.0,999.0,-1.34,0.23,1,0.9975299024645532
-461.934,-195.105,999.0,999.0,-1.43,0.23,1,0.9834776714296662
69.971,-56.667,999.0,999.0,-1.72,0.28,1,0.993872262670656
-222.522,-315.398,999.0,999.0,-1.22,0.24,1,0.9962521553944337
-130.256,-81.152,999.0,999.0,-1.67,0.24,1,0.9976688277960984
-258.772,68.883,-150.296,3.87,-1.82,0.27,1,0.9959139430895031
-128.006,25.58,999.0,999.0,-1.56,0.24,1,0.996933651742536
-453.82,-84.393,999.0,999.0,-1.39,0.3,1,0.9873376652253922
-202.381,-193.436,999.0,999.0,-1.64,0.26,1,0.9975108635339669
-368.619,6.059,999.0,999.0,-0.85,0.25,1,0.9938619766543478
-248.476,-498.567,999.0,999.0,-1.5,0.21,1,0.9866533699071125
-374.298,2.706,999.0,999.0,-0.74,0.26,1,0.9936292422529266
-18.28,-290.221,999.0,999.0,-1.18,0.2,1,0.9965469189595949
-138.645,-795.731,999.0,999.0,-1.26,0.2,1,0.8050112709034818
-3.034,94.523,999.0,999.0,-1.22,0.21,1,0.9930597010684802
-293.652,-65.842,999.0,999.0,-1.38,0.25,1,0.9965893584569115
-219.347,51.415,999.0,999.0,-1.28,0.25,1,0.9965486980314925
-151.109,-357.973,999.0,999.0,-1.2,0.2,1,0.9962359023554732
-35.542,-76.808,999.0,999.0,-1.2,0.2,1,0.9970092612933369
-159.468,155.695,999.0,999.0,-1.49,0.24,1,0.994292088028491
