X_pc,Y_pc,vr,d_vr,FeH,d_FeH,flag,P_member_position
74.169,400.207,999.0,999.0,-0.73,0.28,1,0.9901308494456454
-306.132,-331.273,999.0,999.0,-1.07,0.28,1,0.9568483760041258
-142.062,702.114,999.0,999.0,-1.05,0.2,1,0.9799018776826376
-221.839,-232.767,999.0,999.0,-1.48,0.23,1,0.9828546760842093
-238.551,507.345,999.0,999.0,-1.23,0.21,1,0.9853142830821641
-141.46,-301.716,999.0,999.0,-0.54,0.29,1,0.9869593157725327
-93.418,-282.581,255.17,5.19,-1.31,0.3,1,0.9899235402204524
-85.717,261.883,999.0,999.0,-0.63,0.22,1,0.9931103482119418
96.855,-296.889,999.0,999.0,-0.92,0.27,1,0.9925338040855579
-66.104,187.876,999.0,999.0,-1.01,0.2,1,0.9937002190171613
2.158,259.955,259.569,4.15,-0.71,0.28,1,0.9933687044604036
330.612,-334.21,999.0,999.0,-1.3,0.21,1,0.9847383797804795
98.732,300.454,260.77,5.87,-1.48,0.28,1,0.9916057049250736
251.021,-641.193,999.0,999.0,-1.54,0.27,1,0.9789526324043043
-85.722,253.856,999.0,999.0,-1.11,0.27,1,0.9931667919409846
371.91,-1128.911,999.0,999.0,-0.98,0.22,1,0.79081512162682
72.489,404.101,999.0,999.0,-1.51,0.28,1,0.9900767645761979
90.229,514.207,268.59,4.64,-1.37,0.21,1,0.9854701131949463
134.438,11.017,999.0,999.0,-1.24,0.21,1,0.9935304770438784
40.546,-43.856,999.0,999.0,-1.39,0.25,1,0.9942887100502127
84.924,1360.039,999.0,999.0,-1.06,0.28,1,0.29972710270659153
-16.734,839.78,999.0,999.0,-0.79,0.2,1,0.960339797636503
430.926,-405.936,999.0,999.0,-1.5,0.22,1,0.9694674103082429
105.519,-123.197,999.0,999.0,-1.83,0.27,1,0.9938057105547697
-65.675,429.425,999.0,999.0,-1.1,0.22,1,0.9911173409461673
223.97,-119.421,999.0,999.0,-1.19,0.29,1,0.9915987628502967
56.256,-856.746,999.0,999.0,-0.63,0.29,1,0.9459667522202884
460.36,-101.325,263.085,3.04,-0.9,0.2,1,0.9608221149350913
31.993,-231.175,999.0,999.0,-1.09,0.23,1,0.9931781505790792
-95.332,310.387,999.0,999.0,-1.15,0.22,1,0.9926062261234176
387.299,-18.247,999.0,999.0,-1.1,0.24,1,0.97665904461824
-140.512,-62.986,257.882,3.05,-1.25,0.23,1,0.9918311369273332
83.536,-377.156,999.0,999.0,-0.93,0.24,1,0.9912725219549188
-30.023,182.607,999.0,999.0,-1.52,0.24,1,0.9939166286750074
-136.139,979.879,260.684,5.19,-1.39,0.25,1,0.9337654907723849
-288.245,-426.306,999.0,999.0,-1.04,0.28,1,0.9473681806924641
181.252,279.158,265.995,4.12,-1.05,0.26,1,0.9890909966526762
35.508,-212.777,999.0,999.0,-0.76,0.27,1,0.9933774202071323
-118.116,139.042,267.935,4.25,-1.24,0.24,1,0.9931735073185395
-156.691,-595.063,999.0,999.0,-1.49,0.29,1,0.9594240599536754
-125.998,-200.383,999.0,999.0,-1.3,0.28,1,0.9904082649933657
-139.825,998.036,258.347,6.64,-1.1,0.3,1,0.927553111248997
-14.264,220.694,999.0,999.0,-1.4,0.24,1,0.9937166284966957
219.087,500.183,999.0,999.0,-1.0,0.29,1,0.9739803020965981
61.283,-633.85,999.0,999.0,-1.66,0.23,1,0.9804192787679163
-187.195,1050.828,999.0,999.0,-0.58,0.28,1,0.90562679734344
259.462,102.715,999.0,999.0,-1.56,0.3,1,0.9883241325989218
