X_pc,Y_pc,vr,d_vr,FeH,d_FeH,flag,P_member_position
-52.989,816.399,999.0,999.0,-1.29,0.24,1,0.9432508927939656
500.63,514.259,133.466,4.67,-1.68,0.22,1,0.9717635489378734
-769.745,-15.351,120.871,4.28,-1.6,0.25,1,0.8984459137605012
202.337,153.262,131.115,4.11,-1.78,0.23,1,0.9818819790453178
-67.222,-262.029,999.0,999.0,-1.51,0.21,1,0.9819108613630871
740.473,625.042,999.0,999.0,-2.16,0.21,1,0.9507679222890842
-55.257,258.094,999.0,999.0,-1.5,0.27,1,0.97981227919004
95.203,24.089,126.827,3.92,-1.29,0.21,1,0.9828919239483397
-549.04,224.196,999.0,999.0,-1.57,0.25,1,0.9350440920840137
-145.405,-817.455,999.0,999.0,-1.52,0.2,1,0.9634424995455086
-1165.774,-1459.308,999.0,999.0,-1.54,0.27,1,0.6580904433561663
99.143,-240.852,999.0,999.0,-1.82,0.26,1,0.9804658070923529
678.658,1311.065,999.0,999.0,-1.27,0.24,1,0.8899504543673721
170.057,-235.838,999.0,999.0,-1.53,0.27,1,0.9787896609823652
-632.974,-1167.327,999.0,999.0,-1.4,0.23,1,0.9232638252450797
464.045,600.163,153.111,5.76,-1.26,0.29,1,0.9715933338953233
-160.225,-259.582,153.216,4.25,-1.33,0.28,1,0.9816014212075671
-814.969,-272.869,103.653,5.11,-1.23,0.29,1,0.9148200464272012
559.732,701.427,999.0,999.0,-1.42,0.23,1,0.9647436627062052
1134.904,477.972,999.0,999.0,-1.41,0.2,1,0.77477558140369
1514.059,1331.986,999.0,999.0,-1.47,0.23,1,0.3342756184181089
606.926,738.726,999.0,999.0,-1.54,0.28,1,0.9606989551843748
-305.754,-404.361,999.0,999.0,-1.68,0.21,1,0.9783198812320869
345.928,647.63,999.0,999.0,-2.04,0.28,1,0.9727336564003358
-296.518,414.854,999.0,999.0,-1.47,0.26,1,0.9586128596806657
-47.556,722.174,999.0,999.0,-1.84,0.29,1,0.9557919477429462
442.755,207.331,999.0,999.0,-1.34,0.22,1,0.9751370179644304
291.964,-10.177,999.0,999.0,-2.05,0.26,1,0.9789318859079226
-94.916,208.074,999.0,999.0,-1.65,0.29,1,0.9798921232360294
-258.198,-388.935,999.0,999.0,-2.03,0.22,1,0.9793515729655177
529.917,281.48,999.0,999.0,-1.65,0.25,1,0.9707043241140513
