X_pc,Y_pc,vr,d_vr,FeH,d_FeH,flag,P_member_position
208.986,252.552,999.0,999.0,-1.74,0.27,1,0.997971437118855
51.676,186.379,999.0,999.0,-1.76,0.25,1,0.9960253314917566
319.849,69.366,999.0,999.0,-1.85,0.25,1,0.9982647749143041
201.947,208.316,999.0,999.0,-1.94,0.28,1,0.9982602976798567
468.131,363.128,-120.636,4.68,-1.98,0.21,1,0.9832770410955081
351.649,231.53,-111.577,4.96,-1.78,0.28,1,0.9975367418372446
186.382,192.021,999.0,999.0,-1.96,0.28,1,0.9982678443128916
124.097,213.654,999.0,999.0,-1.6,0.2,1,0.9975934238496414
333.258,41.601,999.0,999.0,-1.05,0.21,1,0.998060787652272
84.389,305.113,999.0,999.0,-1.44,0.21,1,0.9952759989453255
245.089,-34.144,999.0,999.0,-1.52,0.3,1,0.9976782420775958
239.476,257.374,999.0,999.0,-1.82,0.26,1,0.9979715220462813
78.693,176.76,999.0,999.0,-2.09,0.24,1,0.9969237299443556
330.354,-101.335,999.0,999.0,-2.49,0.26,1,0.9958869844431989
321.518,122.508,999.0,999.0,-1.55,0.22,1,0.9983242843422203
374.635,96.082,999.0,999.0,-1.44,0.29,1,0.9978109359371599
196.483,-69.278,999.0,999.0,-1.77,0.24,1,0.9967808383552043
275.919,39.197,999.0,999.0,-2.13,0.2,1,0.998309977758712
106.849,201.903,-102.23,4.13,-2.1,0.29,1,0.9973953245087536
123.144,49.999,999.0,999.0,-1.82,0.24,1,0.9975191858016812
299.829,16.135,999.0,999.0,-1.38,0.29,1,0.9980998112522355
180.902,79.725,999.0,999.0,-2.07,0.26,1,0.9982785280309006
229.936,137.022,-107.639,3.02,-1.54,0.3,1,0.9985177504913634
236.155,89.024,999.0,999.0,-1.99,0.2,1,0.998492889875295
269.917,212.286,-104.266,4.26,-2.12,0.25,1,0.9982764628034393
186.71,-58.941,999.0,999.0,-2.52,0.28,1,0.996903713277515
380.178,240.486,999.0,999.0,-1.67,0.26,1,0.9969317196037435
237.081,-88.431,999.0,999.0,-1.73,0.21,1,0.9966128352869651
679.113,355.183,999.0,999.0,-1.93,0.28,1,0.6298440266119227
425.431,154.478,999.0,999.0,-2.09,0.21,1,0.9966676953816996
277.955,4.712,999.0,999.0,-2.07,0.25,1,0.9980801509687461
204.062,89.573,-107.869,5.67,-1.64,0.25,1,0.9984176306483046
381.242,251.063,-118.927,4.26,-1.69,0.24,1,0.9967430796135152
156.73,96.341,999.0,999.0,-1.55,0.3,1,0.9981481705225923
218.025,87.894,999.0,999.0,-1.38,0.25,1,0.9984574943537643
255.366,228.536,999.0,999.0,-2.24,0.25,1,0.9982007265010675
35.684,228.136,999.0,999.0,-1.78,0.26,1,0.9948654509526456
221.98,143.545,999.0,999.0,-2.08,0.25,1,0.9984999919574636
395.71,250.002,999.0,999.0,-1.64,0.25,1,0.9963918820878317
93.069,-122.499,999.0,999.0,-1.74,0.21,1,0.9906928471011407
199.167,116.858,-121.158,4.38,-1.76,0.26,1,0.998438573450306
221.009,-264.612,999.0,999.0,-1.95,0.27,1,0.9757779424270984
208.491,16.157,-115.373,4.29,-1.74,0.25,1,0.998083562401132
250.078,-248.578,999.0,999.0,-1.78,0.24,1,0.9816350460749439
191.035,78.185,999.0,999.0,-1.39,0.21,1,0.9983301617089282
281.116,88.53,999.0,999.0,-2.09,0.25,1,0.9984654583255052
116.236,262.545,999.0,999.0,-1.34,0.29,1,0.9969719821963239
65.548,270.407,999.0,999.0,-1.32,0.21,1,0.9954353083716119
213.031,322.216,999.0,999.0,-1.58,0.22,1,0.996964950409845
266.739,-130.243,-115.863,4.03,-1.35,0.25,1,0.9952562160722109
292.078,189.123,999.0,999.0,-1.92,0.22,1,0.998320255995578
457.597,66.18,999.0,999.0,-1.6,0.28,1,0.9955357343312269
555.268,150.19,999.0,999.0,-1.84,0.23,1,0.9839993197977482
