X_pc,Y_pc,vr,d_vr,FeH,d_FeH,flag,P_member_position
-250.148,-45.08,-145.211,5.04,-1.43,0.22,1,0.9990073599343223
-242.121,-98.27,-149.416,4.8,-1.31,0.28,1,0.9993903388745763
-182.813,-8.242,999.0,999.0,-1.48,0.21,1,0.9990354395334065
-253.059,-184.941,999.0,999.0,-1.77,0.21,1,0.9992350115718474
-218.383,-95.796,999.0,999.0,-2.05,0.2,1,0.9994719429544792
-190.008,-162.739,999.0,999.0,-1.43,0.27,1,0.9994299512501645
-197.241,-170.429,999.0,999.0,-1.47,0.22,1,0.999403330623983
-419.83,-142.492,999.0,999.0,-1.99,0.2,1,0.9843228370923575
-55.955,66.186,999.0,999.0,-1.71,0.3,1,0.9946957122632615
-334.043,-140.944,999.0,999.0,-1.68,0.23,1,0.998128126381436
-220.679,-68.959,-157.276,4.26,-2.1,0.24,1,0.9993852386901035
-105.469,-178.795,999.0,999.0,-1.75,0.26,1,0.9986947653991555
-309.679,-191.091,999.0,999.0,-2.04,0.29,1,0.9986060037787781
-133.936,-67.688,-149.999,2.61,-1.87,0.21,1,0.9993937200167117
-272.263,-83.29,-135.546,4.4,-2.23,0.24,1,0.9990930229959185
-211.666,-156.919,-135.207,6.73,-1.87,0.29,1,0.9994516757824652
-163.593,-384.651,999.0,999.0,-1.23,0.25,1,0.9054979790877745
-157.111,-206.683,-159.001,4.15,-0.93,0.26,1,0.9989340860572852
-5.805,-90.776,999.0,999.0,-1.96,0.27,1,0.9957796181862502
-267.98,-313.65,999.0,999.0,-2.28,0.23,1,0.9937422373765601
-243.689,-258.102,-142.603,2.14,-2.17,0.27,1,0.9981546228299212
-156.838,-7.97,999.0,999.0,-1.45,0.24,1,0.9990716500660926
-299.559,-108.637,999.0,999.0,-1.29,0.27,1,0.9988526186433796
-249.382,-271.356,-157.733,4.1,-2.05,0.26,1,0.9976163140855384
-156.434,-101.182,999.0,999.0,-1.78,0.2,1,0.9994906350592538
-163.821,-92.136,999.0,999.0,-2.32,0.28,1,0.9994988744289925
-72.006,-92.237,999.0,999.0,-1.71,0.25,1,0.9988601431401797
