X_pc,Y_pc,vr,d_vr,FeH,d_FeH,flag,P_member_position
-25.72,-122.539,999.0,999.0,-0.96,0.29,1,0.9998615724338952
-6.866,-102.706,999.0,999.0,-0.96,0.24,1,0.9999249911441954
6.225,-87.056,999.0,999.0,-0.62,0.29,1,0.9999327307445754
-38.391,-118.191,999.0,999.0,-1.1,0.29,1,0.999884243239483
-22.93,-131.675,999.0,999.0,-0.66,0.22,1,0.9997563625050159
-61.018,-110.56,-225.474,3.96,-0.68,0.25,1,0.9998587958100537
-43.646,-92.5,999.0,999.0,-0.82,0.23,1,0.9998984473231777
24.193,-109.176,999.0,999.0,-0.9,0.26,1,0.9998284584204288
-27.388,-78.911,999.0,999.0,-0.6,0.24,1,0.999900450249322
7.811,-96.236,999.0,999.0,-0.72,0.25,1,0.9999249969650852
-60.75,-129.369,999.0,999.0,-1.09,0.24,1,0.999778252347007
60.666,-62.358,999.0,999.0,-1.37,0.29,1,0.9998007527142384
62.658,-96.74,999.0,999.0,-1.12,0.26,1,0.9995827237356921
60.067,-72.974,999.0,999.0,-1.07,0.28,1,0.9998126012506907
-71.938,-82.309,999.0,999.0,-1.26,0.21,1,0.999586665098226
-58.419,-45.344,999.0,999.0,-1.15,0.3,1,0.9955583871370849
-3.405,-113.287,999.0,999.0,-0.75,0.21,1,0.9998883126515565
52.657,-86.881,999.0,999.0,-1.56,0.2,1,0.9998178001310041
6.362,-109.107,-228.018,3.86,-1.5,0.24,1,0.999890442157353
24.359,-80.797,999.0,999.0,-1.01,0.23,1,0.9999192396954414
-70.853,-120.045,-231.012,4.23,-1.6,0.21,1,0.9997948129213491
21.019,-65.86,999.0,999.0,-1.23,0.24,1,0.9999015100745156
-24.468,-59.471,-222.405,4.05,-1.36,0.26,1,0.9997487066313601
93.429,-46.503,-222.734,3.01,-0.8,0.28,1,0.999162636160303
37.78,-82.419,999.0,999.0,-0.84,0.21,1,0.9998942104407204
2.098,-98.019,999.0,999.0,-0.69,0.29,1,0.9999270851035327
42.986,-68.483,999.0,999.0,-0.74,0.24,1,0.9998797220258951
-5.876,-82.82,-221.239,3.02,-1.03,0.27,1,0.9999314376033289
15.431,-61.04,999.0,999.0,-1.11,0.27,1,0.999882650574226
-78.267,-95.515,999.0,999.0,-1.2,0.29,1,0.9996830587745862
23.188,-94.192,999.0,999.0,-1.4,0.28,1,0.9999069076134652
22.661,-90.932,999.0,999.0,-0.89,0.23,1,0.9999140798198392
0.658,-98.366,-230.088,4.19,-0.81,0.24,1,0.9999275627604544
-76.666,-83.711,999.0,999.0,-1.12,0.2,1,0.9995133760245766
-54.948,-131.164,-226.694,4.09,-1.17,0.25,1,0.9997752511026384
5.495,-46.298,999.0,999.0,-1.29,0.22,1,0.9996853702820481
74.684,-27.244,999.0,999.0,-0.76,0.2,1,0.9987596565246578
-0.638,-70.788,999.0,999.0,-0.72,0.26,1,0.9999116246151004
-22.718,-70.733,-226.577,4.29,-1.17,0.27,1,0.9998751342554408
-34.61,-136.117,999.0,999.0,-1.39,0.24,1,0.9997043910015623
43.9,-64.158,999.0,999.0,-0.88,0.23,1,0.9998686012693917
2.009,-45.044,999.0,999.0,-1.43,0.22,1,0.9996278230425071
-109.407,-118.526,999.0,999.0,-0.78,0.2,1,0.9990548010388117
